phenotype,LUMA,LUMA,LUMA,LUMA,LUMA,LUMB,LUMB,LUMB,LUMB,LUMB,TNBC,TNBC,TNBC,TNBC,TNBC,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI,ZDRAVI
VDAC1_HUMAN,NA,NA,NA,NA,3.0,4.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PTBP1_HUMAN,NA,NA,4.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VDAC3_HUMAN,NA,NA,1.0,NA,3.0,2.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RL24_HUMAN,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRP14_HUMAN,NA,NA,NA,6.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CYRIB_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EF1G_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RL5_HUMAN,NA,NA,NA,1.0,14.0,NA,26.0,16.0,3.0,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS14_HUMAN,NA,NA,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DEF1_HUMAN,NA,13.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
IF5A1_HUMAN,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
B2MG_HUMAN,NA,NA,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PRDX5_HUMAN,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AT5F1_HUMAN,NA,NA,NA,NA,4.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LMNB1_HUMAN,NA,NA,NA,NA,NA,15.0,3.0,1.0,13.0,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EF1A1_HUMAN,NA,NA,NA,NA,NA,15.0,1.0,2.0,1.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DDX17_HUMAN,NA,NA,NA,NA,NA,6.9959183,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DHE3_HUMAN,NA,NA,NA,NA,NA,17.0,19.0,13.0,4.0,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CAH1_HUMAN,NA,NA,NA,NA,NA,17.0,47.0,27.0,19.0,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
APEX1_HUMAN,NA,NA,NA,NA,NA,2.0,38.0,20.0,6.0,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS3_HUMAN,NA,NA,NA,NA,NA,3.0,NA,1.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SPTN1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ACON_HUMAN,NA,NA,NA,NA,NA,2.0,7.0,1.0,NA,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HXK1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PTN6_HUMAN,NA,NA,NA,NA,NA,7.0,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TCPG_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LASP1_HUMAN,NA,NA,NA,NA,NA,4.0,23.0,11.0,3.0,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS18_HUMAN,NA,NA,NA,NA,NA,12.0,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AN32E_HUMAN,NA,NA,NA,NA,NA,2.0,27.0,8.0,1.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PSB9_HUMAN,NA,NA,NA,NA,NA,11.0,26.0,7.0,3.0,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PP1A_HUMAN,NA,NA,NA,NA,NA,4.2894735,13.342106,2.0,2.0,11.342106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PSA2_HUMAN,NA,NA,NA,NA,NA,NA,19.0,13.0,2.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
FIBA_HUMAN,NA,NA,NA,NA,NA,NA,3.0,7.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARF1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS9_HUMAN,NA,NA,NA,NA,NA,NA,2.0,1.0,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DHX9_HUMAN,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PFKAL_HUMAN,NA,NA,NA,NA,NA,NA,10.0,NA,3.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HPRT_HUMAN,NA,NA,NA,NA,NA,4.0,17.0,2.0,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LAP2B_HUMAN,NA,NA,NA,NA,NA,9.0,NA,NA,5.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AMPL_HUMAN,NA,NA,NA,NA,NA,NA,13.0,10.0,NA,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SDHA_HUMAN,NA,NA,NA,NA,NA,4.0,12.0,2.0,1.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
GSTP1_HUMAN,NA,NA,NA,NA,NA,4.0,5.0,10.0,2.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ADT2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ADT3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DDX3X_HUMAN,NA,NA,NA,NA,NA,0.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OSTF1_HUMAN,NA,NA,NA,NA,NA,NA,12.0,9.0,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS16_HUMAN,NA,NA,NA,NA,NA,1.0,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ILF2_HUMAN,NA,NA,NA,NA,NA,5.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALDR_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PPAC_HUMAN,NA,NA,NA,NA,NA,NA,9.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PSB1_HUMAN,NA,NA,NA,NA,NA,3.0,11.0,13.0,NA,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
FCL_HUMAN,NA,NA,NA,NA,NA,NA,5.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS2_HUMAN,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TBCA_HUMAN,NA,NA,NA,NA,NA,NA,14.0,4.0,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TCPE_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RANG_HUMAN,NA,NA,NA,NA,NA,1.0,13.0,6.0,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ATPK_HUMAN,NA,NA,NA,NA,NA,1.0,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LYSC_HUMAN,NA,NA,NA,NA,NA,NA,NA,10.0,NA,15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RS21_HUMAN,NA,NA,NA,NA,NA,4.0,15.0,7.0,4.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
FKB1A_HUMAN,NA,NA,NA,NA,NA,NA,7.0,13.0,4.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
F16P1_HUMAN,NA,NA,NA,NA,NA,NA,6.0,1.0,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RL23A_HUMAN,NA,NA,NA,NA,NA,NA,12.0,2.0,6.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAP_HUMAN,NA,NA,NA,NA,NA,NA,5.0,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ABRAL_HUMAN,NA,NA,NA,NA,NA,1.0,9.0,5.0,5.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TXD17_HUMAN,NA,NA,NA,NA,NA,NA,6.0,3.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESYT1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PTBP2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RINI_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,9.0,14.0,15.0,9.0,2.0,3.0,4.0,NA,1.0,5.0,NA,1.0,10.0,1.0
AHNK_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,3.0,6.0,NA,10.0,5.0,NA,7.0
RLA2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,12.0,2.0,NA,2.0,2.0,4.0,11.0,16.0,11.0,NA
THIO_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,1.0,NA,NA,10.0,3.0,NA,7.0,16.0,9.0,9.0,7.0,6.0,NA
SUN2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAF3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,2.0,7.0,4.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA
IGL1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,11.0,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CALX_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,3.0,4.0,6.0,3.0,1.0,NA,NA,NA,1.0,1.0,1.0,2.0,NA,NA
