SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
SERPING1,serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228],303,-0.251,-0.1002,No
THBD,thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784],305,-0.258,-0.0895,No
FGA,fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661],312,-0.266,-0.0910,No
LGALS3BP,galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564],325,-0.311,-0.1053,No
IGKV2-28,immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783],345,-0.342,-0.1357,No
F2,"coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]",361,-0.354,-0.1553,No
THBS1,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785],369,-0.381,-0.1535,No
JCHAIN,joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713],373,-0.389,-0.1412,No
PROCR,protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452],381,-0.412,-0.1377,No
ITIH4,inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169],394,-0.482,-0.1433,No
IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],395,-0.483,-0.1186,No
APP,amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620],408,-0.541,-0.1211,No
APOH,apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616],424,-0.591,-0.1287,No
AHSG,alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349],428,-0.609,-0.1050,No
CLEC3B,C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891],442,-0.675,-0.1033,No
KNG1,kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383],451,-0.756,-0.0847,No
SIRPA,signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662],456,-0.787,-0.0545,No
QSOX1,quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756],465,-1.459,-0.0000,No
